City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Iralaya,15.0,-83.23,84.25,72.0,1.0,9.69,HN,1589669485
Paamiut,61.99,-49.67,39.67,89.0,100.0,5.91,GL,1589669446
Galle,6.04,80.22,82.63,83.0,100.0,14.72,LK,1589669486
Touros,-5.2,-35.46,75.2,100.0,75.0,2.24,BR,1589669452
Ndélé,8.41,20.65,74.61,81.0,96.0,3.6,CF,1589669486
El Sauzal de Rodríguez,31.9,-116.68,70,72.0,34.0,5.99,MX,1589669486
Ratnagiri,16.98,73.3,83.28,83.0,77.0,11.81,IN,1589669487
Toyooka,35.53,134.83,60.8,100.0,75.0,9.17,JP,1589669487
Kano,12.0,8.52,85.26,44.0,100.0,10.22,NG,1589669347
Toora-Khem,52.47,96.11,52.65,72.0,99.0,2.95,RU,1589669487
Lucapa,-8.42,20.74,68.68,66.0,20.0,1.28,AO,1589669487
Kattivākkam,13.22,80.32,86,89.0,20.0,3.36,IN,1589669488
Kokopo,-4.35,152.26,84.36,74.0,11.0,9.86,PG,1589669488
Khandyga,62.67,135.6,51.26,59.0,34.0,5.28,RU,1589669488
Polis,35.04,32.43,80.6,32.0,0.0,4.7,CY,1589669488
Batavia,41.85,-88.31,66.99,52.0,1.0,14.99,US,1589669239
Boralday,43.36,76.86,59,77.0,90.0,4.47,KZ,1589669488
Borogontsy,62.67,131.17,54.88,56.0,0.0,4.56,RU,1589669489
Mosquera,4.71,-74.23,66.2,55.0,40.0,9.17,CO,1589669299
Iwanai,42.97,140.51,59.52,68.0,67.0,4.16,JP,1589669489
Te Anau,-45.42,167.72,47.98,61.0,0.0,1.25,NZ,1589669403
Leningradskiy,69.38,178.42,29.01,97.0,100.0,4.7,RU,1589669490
Cidreira,-30.18,-50.21,63.1,66.0,0.0,11.79,BR,1589669490
Palmer,42.16,-72.33,71.6,37.0,20.0,4.7,US,1589669205
Broome,42.25,-75.83,64.99,51.0,1.0,4.7,US,1589669417
Antsohihy,-14.88,47.99,72.93,88.0,46.0,3.2,MG,1589669490
Dandong,40.13,124.39,58.71,94.0,100.0,9.51,CN,1589669491
Ondjiva,-17.07,15.73,60.22,35.0,0.0,5.46,AO,1589669491
Raudeberg,61.99,5.14,39,90.0,100.0,22.84,NO,1589669491
Port Macquarie,-31.43,152.92,61,91.0,44.0,10.0,AU,1589669491
Saint George,37.1,-113.58,89.6,14.0,1.0,8.05,US,1589669423
Xunchang,28.45,104.72,69.24,79.0,100.0,6.4,CN,1589669491
Markivka,49.52,39.57,43.29,85.0,0.0,8.23,UA,1589669492
Margate,51.38,1.39,52,56.0,80.0,1.01,GB,1589669492
Inverell,-29.78,151.12,57.99,72.0,0.0,1.01,AU,1589669492
Helong,42.54,129.0,58.44,73.0,80.0,2.77,CN,1589669492
Posse,-14.09,-46.37,70.14,85.0,33.0,1.88,BR,1589669492
Wajir,1.75,40.06,76.66,72.0,2.0,15.52,KE,1589669493
Karatuzskoye,53.61,92.87,55.33,83.0,91.0,2.26,RU,1589669493
Xiongzhou,25.12,114.3,75.31,84.0,71.0,1.01,CN,1589669493
Yuci,37.68,112.73,50,61.0,0.0,2.24,CN,1589669493
Nicoya,10.15,-85.45,87.8,66.0,40.0,14.99,CR,1589669493
Fortuna,40.6,-124.16,61,93.0,40.0,19.46,US,1589669484
Killybegs,54.63,-8.45,48.99,89.0,100.0,5.01,IE,1589669494
Pimentel,-6.84,-79.93,67.48,84.0,10.0,14.72,PE,1589669494
Kondinskoye,59.65,67.41,49.06,81.0,80.0,6.69,RU,1589669494
Dickinson,29.46,-95.05,82,61.0,75.0,13.87,US,1589669494
Bandarbeyla,9.49,50.81,82.67,83.0,30.0,23.24,SO,1589669494
Angoche,-16.23,39.91,73.58,68.0,23.0,13.6,MZ,1589669495
Springbok,-29.66,17.89,54.36,37.0,0.0,5.73,ZA,1589669495
Saint-François,46.42,3.91,50,76.0,7.0,4.7,FR,1589669495
Tepelenë,40.3,20.02,76.26,27.0,100.0,6.91,AL,1589669495
Bugarama,-2.87,30.53,60.78,95.0,44.0,2.3,TZ,1589669495
Vikhorevka,56.12,101.16,44.6,45.0,100.0,4.47,RU,1589669496
Malaya Serdoba,52.47,44.95,42.1,80.0,0.0,6.26,RU,1589669496
Dogondoutchi,13.64,4.03,96.21,28.0,93.0,8.99,NE,1589669496
Cherskiy,68.75,161.3,49.05,46.0,0.0,8.66,RU,1589669453
Agara,42.04,43.82,56.75,84.0,76.0,16.6,GE,1589669496
Cao Bang,22.67,106.25,74.84,90.0,46.0,1.74,VN,1589669497
College,64.86,-147.8,59,30.0,75.0,18.34,US,1589669497
Dhārchula,29.85,80.53,62.82,36.0,0.0,7.07,IN,1589669497
Klaksvík,62.23,-6.59,39.2,75.0,100.0,17.22,FO,1589669454
Williston,48.15,-103.62,69.01,39.0,56.0,3.0,US,1589669497
Amuntai,-2.42,115.25,76.39,96.0,80.0,0.22,ID,1589669498
Kutina,45.48,16.78,55.4,93.0,100.0,2.24,HR,1589669498
Korla,41.76,86.15,75.4,20.0,100.0,10.13,CN,1589669475
La Tijera,19.9,-104.4,79.52,17.0,14.0,9.4,MX,1589669499
Dawson Creek,55.77,-120.24,64.4,45.0,20.0,12.75,CA,1589669499
Krasnogorodsk,56.83,28.28,41.11,93.0,99.0,10.11,RU,1589669499
Taltal,-25.4,-70.48,59.99,79.0,44.0,2.21,CL,1589669499
Vredendal,-31.67,18.5,58.69,45.0,0.0,3.44,ZA,1589669499
Velyka Oleksandrivka,47.32,33.3,48.27,74.0,49.0,5.23,UA,1589669499
Santa Cruz de La Palma,28.68,-17.76,68,60.0,90.0,12.75,ES,1589669500
Machachi,-0.5,-78.57,68,67.0,75.0,18.34,EC,1589669479
Kayerkan,69.35,87.76,37.4,93.0,75.0,20.13,RU,1589669500
Plettenberg Bay,-34.05,23.37,57.49,56.0,1.0,2.39,ZA,1589669501
Dārāb,28.75,54.54,73.8,28.0,0.0,4.92,IR,1589669501
Conway,35.09,-92.44,71.01,99.0,100.0,7.07,US,1589669265
Vung Tau,10.35,107.08,84.06,74.0,94.0,6.93,VN,1589669501
Ciechanów,52.88,20.62,48.2,66.0,58.0,6.93,PL,1589669501
Balsas,-7.53,-46.04,79.05,69.0,67.0,2.84,BR,1589669464
Vardø,70.37,31.11,33.8,96.0,75.0,3.36,NO,1589669502
Caravelas,-17.71,-39.25,73.17,94.0,77.0,13.44,BR,1589669466
Port Keats,-14.25,129.55,77.32,64.0,24.0,10.74,AU,1589669502
Somerset,40.57,-74.55,77,33.0,1.0,3.36,US,1589669445
Doba,8.65,16.85,87.44,44.0,73.0,7.94,TD,1589669503
Batemans Bay,-35.72,150.18,55,100.0,1.0,2.95,AU,1589669503
Nyurba,63.28,118.33,56.57,62.0,100.0,1.52,RU,1589669503
Kresttsy,58.25,32.52,38.39,93.0,100.0,8.08,RU,1589669427
Mareeba,-17.0,145.43,75.2,73.0,40.0,10.29,AU,1589669504
Alappuzha,9.49,76.33,82.96,81.0,100.0,13.06,IN,1589669429
Narón,43.52,-8.15,57,66.0,2.0,9.01,ES,1589669504
Bairiki Village,1.33,172.98,86,79.0,40.0,8.05,KI,1589669504
Pitimbu,-7.47,-34.81,77,100.0,75.0,3.27,BR,1589669498
Razdol'noye,43.55,131.92,53.6,100.0,20.0,2.24,RU,1589669504
Hirara,24.8,125.28,80.6,94.0,75.0,11.41,JP,1589669505
Gimli,50.63,-96.99,69.01,37.0,7.0,3.0,CA,1589669402
Laguna de Perlas,12.34,-83.67,83.71,75.0,22.0,7.52,NI,1589669505
Bambous Virieux,-20.34,57.76,71.6,88.0,20.0,3.36,MU,1589669505
Sādāt,25.68,83.28,86.18,21.0,0.0,4.65,IN,1589669505
Koumac,-20.57,164.28,75.87,67.0,90.0,6.46,NC,1589669506
Cayenne,4.93,-52.33,80.6,83.0,90.0,5.82,GF,1589669469
Alofi,-19.06,-169.92,82.4,69.0,52.0,6.93,NU,1589669506
Vestmanna,62.16,-7.17,39.2,81.0,100.0,17.22,FO,1589669470
Peace River,56.25,-117.29,64.4,36.0,75.0,9.17,CA,1589669506
Znamenskoye,57.13,73.83,53.73,85.0,66.0,5.23,RU,1589669506
Basco,20.45,121.97,82.2,81.0,97.0,22.91,PH,1589669507
Otradnoye,59.78,30.82,39.99,80.0,40.0,11.18,RU,1589669507
Dwārka,22.24,68.97,81.25,76.0,0.0,16.37,IN,1589669508
Kieta,-6.22,155.63,85.78,68.0,0.0,3.15,PG,1589669508
Anadyr,64.75,177.48,37.4,69.0,0.0,6.71,RU,1589669509
Hay River,60.82,-115.8,41,52.0,75.0,5.82,CA,1589669509
Mildura,-34.2,142.15,48,93.0,0.0,5.82,AU,1589669509
Tuatapere,-46.13,167.68,51.76,70.0,0.0,2.86,NZ,1589669404
Souillac,-20.52,57.52,71.6,88.0,20.0,3.36,MU,1589669509
Udachny,66.42,112.4,42.8,56.0,75.0,6.71,RU,1589669510
Acaraú,-2.89,-40.12,78.58,86.0,95.0,6.51,BR,1589669510
Jalu,29.03,21.55,84.02,15.0,0.0,11.7,LY,1589669510
Kutum,14.2,24.67,75.27,17.0,0.0,7.65,SD,1589669510
Sakakah,29.97,40.21,80.6,30.0,40.0,14.99,SA,1589669510
Chiang Mai,18.79,98.98,84.99,78.0,20.0,1.12,TH,1589669511
Salinas,36.68,-121.66,71.6,49.0,1.0,13.87,US,1589669511
Kirakira,-10.45,161.92,85.42,74.0,10.0,7.49,SB,1589669511
Dongling,41.81,123.58,59,100.0,90.0,11.18,CN,1589669511
Den Helder,52.96,4.76,48,81.0,96.0,6.93,NL,1589669511
Aberdeen,57.14,-2.1,50,66.0,52.0,8.05,GB,1589669512
Amga,60.9,131.96,57.87,50.0,0.0,2.64,RU,1589669512
Samarai,-10.62,150.67,79.93,82.0,90.0,14.03,PG,1589669512
Dicabisagan,17.08,122.42,82.81,79.0,34.0,11.41,PH,1589669512
Half Moon Bay,37.46,-122.43,72,46.0,20.0,13.87,US,1589669436
Māngrol,21.12,70.12,80.98,84.0,0.0,13.13,IN,1589669513
Shahreza,32.03,51.88,62.35,30.0,0.0,2.66,IR,1589669513
Mayo,38.89,-76.51,75.2,50.0,1.0,5.82,US,1589669513
Majene,-3.54,118.97,80.51,86.0,91.0,8.77,ID,1589669513
Mayor Pablo Lagerenza,-19.93,-60.77,65.55,43.0,0.0,4.61,PY,1589669513
Geraldton,-28.77,114.6,51.8,62.0,31.0,9.17,AU,1589669451
Klyuchi,52.27,79.17,61.27,60.0,31.0,2.59,RU,1589669514
Rocha,-34.48,-54.33,66.15,58.0,0.0,14.83,UY,1589669514
Bajil,15.06,43.29,91.71,43.0,2.0,1.5,YE,1589669514
Esperance,-33.87,121.9,53.6,76.0,90.0,5.82,AU,1589669514
Aksay,47.26,39.87,44.01,93.0,0.0,2.24,RU,1589669515
Tanete,-3.94,119.78,79.47,84.0,38.0,6.85,ID,1589669515
Aripuanã,-9.17,-60.63,75.34,93.0,14.0,1.48,BR,1589669454
Mnogovershinnyy,53.94,139.92,36.82,80.0,23.0,7.02,RU,1589669515
Binga,-17.62,27.34,62.65,36.0,0.0,0.87,ZW,1589669515
Sinnamary,5.38,-52.95,78.04,86.0,68.0,13.09,GF,1589669471
Kangaatsiaq,68.31,-53.46,32.43,97.0,32.0,13.44,GL,1589669516
Ostrogozhsk,50.87,39.08,44.46,83.0,5.0,9.15,RU,1589669516
Ixtapa,20.7,-105.2,80.6,69.0,5.0,13.87,MX,1589669516
Skellefteå,64.75,20.95,32,86.0,62.0,3.36,SE,1589669517
Alvand,36.32,49.17,56.28,48.0,0.0,4.56,IR,1589669517
Yulara,-25.24,130.99,42.8,52.0,0.0,6.93,AU,1589669517
Usinsk,65.99,57.53,35.76,83.0,100.0,8.88,RU,1589669517
Shiraoi,42.55,141.35,53.6,93.0,75.0,13.87,JP,1589669517
Nakamura,32.98,132.93,72.68,81.0,50.0,3.65,JP,1589669518
Lorengau,-2.02,147.27,85.1,75.0,0.0,8.59,PG,1589669518
Beringovskiy,63.05,179.32,31.68,97.0,100.0,15.12,RU,1589669463
Ambilobe,-13.2,49.05,73.31,92.0,33.0,2.28,MG,1589669518
Prainha,-1.8,-53.48,78.55,90.0,62.0,3.0,BR,1589669518
Sept-Îles,50.2,-66.38,53.6,40.0,75.0,6.93,CA,1589669410
Lopukhiv,48.37,23.96,41.5,84.0,90.0,1.07,UA,1589669519
Petropavlovsk-Kamchatskiy,53.05,158.65,42.8,70.0,75.0,4.47,RU,1589669519
Athabasca,54.72,-113.29,69.21,34.0,14.0,6.22,CA,1589669519
Inuvik,68.35,-133.72,26.6,73.0,90.0,11.41,CA,1589669519
Daşoguz,41.84,59.97,66.2,59.0,49.0,6.93,TM,1589669519
Morón,-34.65,-58.62,72,49.0,0.0,4.7,AR,1589669343
Sabzawār,36.21,57.68,66.51,29.0,0.0,6.22,IR,1589669520
Florø,61.6,5.03,41,75.0,100.0,17.22,NO,1589669520
Province of Mantua,45.17,10.78,60.01,93.0,100.0,5.01,IT,1589669520
Neftçala,39.37,49.25,67.71,74.0,19.0,5.75,AZ,1589669521
Sol'-Iletsk,51.16,54.99,49.87,84.0,100.0,4.32,RU,1589669521
Alto Araguaia,-17.31,-53.22,64.67,86.0,38.0,3.94,BR,1589669521
Gold Coast,-28.0,153.43,70,77.0,0.0,10.29,AU,1589669473
Buraidah,26.33,43.98,82.4,26.0,0.0,3.36,SA,1589669449
Guadalupe y Calvo,26.1,-106.97,71.96,22.0,0.0,13.6,MX,1589669521
Belmonte,-15.86,-38.88,75.2,88.0,90.0,5.82,BR,1589669522
Pisco,-13.7,-76.22,68,77.0,4.0,5.82,PE,1589669421
Province of Siena,43.22,11.4,63,76.0,100.0,4.05,IT,1589669522
Hoquiam,46.98,-123.89,57.99,93.0,90.0,9.17,US,1589669522
Haines Junction,60.75,-137.51,62.22,37.0,86.0,1.39,CA,1589669522
Kyshtovka,56.55,76.63,55.63,70.0,33.0,6.89,RU,1589669523
Noshiro,40.2,140.02,57.2,100.0,75.0,2.24,JP,1589669523
Zunyi,27.69,106.91,65.82,88.0,100.0,3.11,CN,1589669523
Tual,-5.67,132.75,83.5,82.0,29.0,22.77,ID,1589669523
Ayan,56.45,138.17,37.15,80.0,56.0,9.75,RU,1589669523
Pasni,25.26,63.47,81.28,82.0,0.0,9.69,PK,1589669524
Poções,-14.53,-40.37,66.42,92.0,84.0,5.66,BR,1589669524
Fort Nelson,58.81,-122.7,48.2,38.0,75.0,6.93,CA,1589669524
Sungai Besar,3.67,100.99,78.8,94.0,40.0,3.36,MY,1589669524
Omboué,-1.57,9.26,79.79,88.0,100.0,4.97,GA,1589669524
San Cristobal,7.77,-72.22,91.4,36.0,20.0,23.04,VE,1589669462
Hargeisa,9.56,44.06,73.31,65.0,15.0,20.4,SO,1589669525
Umm Kaddadah,13.6,26.69,85.24,24.0,0.0,8.77,SD,1589669525
Foumban,5.73,10.9,66.04,94.0,100.0,3.06,CM,1589669525
Port-Cartier,50.03,-66.87,53.6,40.0,75.0,6.93,CA,1589669525
Manturovo,58.34,44.76,38.19,90.0,35.0,5.26,RU,1589669525
Deputatsky,69.3,139.9,28.53,98.0,100.0,6.62,RU,1589669526
Saurimo,-9.66,20.39,65.7,61.0,12.0,4.47,AO,1589669526
San Quintín,30.48,-115.95,67.87,67.0,51.0,7.45,MX,1589669526
Nizhneudinsk,54.91,99.03,48.34,54.0,93.0,3.09,RU,1589669526
Mehamn,71.04,27.85,33.62,94.0,100.0,12.91,NO,1589669466
Lander,42.83,-108.73,64.4,27.0,1.0,11.41,US,1589669364
La Rioja,42.25,-2.5,53.6,71.0,74.0,6.93,ES,1589669527
Watertown,42.37,-71.18,61,54.0,75.0,14.99,US,1589669341
Yelizovo,53.19,158.38,42.8,70.0,75.0,4.47,RU,1589669527
Malbork,54.04,19.03,48,100.0,77.0,11.07,PL,1589669528
Sioux Lookout,50.1,-91.92,59,51.0,75.0,2.24,CA,1589669418
Skerries,53.58,-6.11,51.8,71.0,75.0,8.05,IE,1589669528
Tandil,-37.32,-59.13,69.01,43.0,0.0,3.0,AR,1589669528
Farafangana,-22.82,47.83,68.04,86.0,25.0,5.46,MG,1589669528
Tongliao,43.61,122.27,59.7,77.0,68.0,10.58,CN,1589669529
Sijunjung,-0.69,100.95,73.71,93.0,100.0,1.05,ID,1589669529
Abalak,58.13,68.59,48.99,89.0,12.0,5.55,RU,1589669529
Great Yarmouth,52.61,1.73,53.01,91.0,75.0,1.01,GB,1589669529
Grand Gaube,-20.01,57.66,71.01,83.0,0.0,1.01,MU,1589669529
Namatanai,-3.67,152.43,84.94,72.0,22.0,5.46,PG,1589669529
Atasū,48.68,71.64,54.86,71.0,85.0,3.71,KZ,1589669530
Jurm,36.86,70.83,50.41,54.0,81.0,0.98,AF,1589669530
Aleksandrovskoye,44.71,43.0,51.8,81.0,90.0,13.42,RU,1589669530
Mackay,-21.15,149.2,68,88.0,40.0,8.05,AU,1589669530
Arandis,-22.42,14.97,75.56,21.0,0.0,10.83,NA,1589669530
Homer,59.64,-151.55,53.6,62.0,1.0,13.87,US,1589669531
Sturgeon Falls,46.36,-79.93,57.2,50.0,40.0,10.29,CA,1589669531
Nizhniy Baskunchak,48.22,46.83,49.59,79.0,100.0,14.14,RU,1589669531
Filingué,14.35,3.32,94.01,32.0,63.0,10.54,NE,1589669531
Manokwari,-0.87,134.08,84.56,72.0,3.0,11.65,ID,1589669500
Egvekinot,66.32,-179.17,28.65,96.0,10.0,14.32,RU,1589669511
Ligayan,4.65,119.47,85.12,79.0,92.0,12.93,PH,1589669532
Chumikan,54.72,135.31,43.32,74.0,14.0,1.12,RU,1589669532
Yar-Sale,66.83,70.83,33.8,97.0,100.0,4.85,RU,1589669532
Tiznit Province,29.58,-9.5,57.09,83.0,62.0,2.48,MA,1589669532
Sorong,-0.88,131.25,80.94,83.0,60.0,7.58,ID,1589669532
Río Gallegos,-51.62,-69.22,41,93.0,75.0,2.24,AR,1589669533
Khanbari,27.37,87.2,72.14,55.0,79.0,2.21,NP,1589669533
Teeli,51.03,90.23,53.67,86.0,100.0,2.66,RU,1589669531
The Valley,18.22,-63.06,82.4,74.0,75.0,12.75,AI,1589669490
Nioki,-2.72,17.68,74.64,86.0,1.0,1.34,CD,1589669533
Kaoma,-14.78,24.8,56.98,58.0,0.0,6.13,ZM,1589669534
Great Falls,47.5,-111.3,69.8,30.0,1.0,11.41,US,1589669307
Hammerfest,70.66,23.68,33.8,98.0,100.0,12.75,NO,1589669534
Lianran,24.92,102.48,64,100.0,75.0,6.71,CN,1589669534
Tapiramutá,-11.85,-40.79,65.7,91.0,80.0,1.12,BR,1589669534
Honningsvåg,70.98,25.97,34.88,95.0,100.0,14.38,NO,1589669534
Katherine,-14.47,132.27,75.2,73.0,83.0,6.93,AU,1589669535
Matipó,-20.28,-42.34,61.72,96.0,86.0,2.39,BR,1589669535
Acarí,-15.43,-74.62,69.94,58.0,4.0,3.87,PE,1589669535
Rio Grande,-32.03,-52.1,55.99,86.0,0.0,13.78,BR,1589669439
Ellensburg,47.0,-120.55,66.2,39.0,40.0,3.36,US,1589669535
Snezhnogorsk,69.19,33.25,28.4,100.0,100.0,1.59,RU,1589669536
Paratinga,-12.69,-43.18,80.6,69.0,88.0,4.7,BR,1589669536
Cukai,4.25,103.42,78.8,94.0,96.0,3.06,MY,1589669536
Ola,59.58,151.28,41.85,66.0,96.0,8.05,RU,1589669536
Teahupoo,-17.83,-149.27,87.8,70.0,75.0,9.17,PF,1589669536
Yaan,7.38,8.57,80.96,78.0,58.0,4.38,NG,1589669537
Pangai,-19.8,-174.35,77.13,67.0,98.0,10.42,TO,1589669414
Aswān,24.09,32.91,86.02,30.0,21.0,11.05,EG,1589669537
Port Moresby,-9.44,147.18,82.4,69.0,20.0,4.7,PG,1589669537
Hvide Sande,56.0,8.13,48.99,84.0,46.0,4.0,DK,1589669538
Richards Bay,-28.78,32.04,60.48,82.0,8.0,5.1,ZA,1589669538
Saint-Ambroise,48.55,-71.33,66.2,24.0,75.0,13.87,CA,1589669538
Buchanan,5.88,-10.05,78.8,94.0,75.0,8.05,LR,1589669538
Rolla,37.95,-91.77,71.6,83.0,40.0,4.7,US,1589669538
Kununurra,-15.77,128.73,78.8,29.0,40.0,13.87,AU,1589669539
Laguna,38.42,-121.42,79,36.0,1.0,17.22,US,1589669539
Gumdag,39.21,54.59,72.99,34.0,55.0,4.05,TM,1589669539
Emerald,-23.53,148.17,66,59.0,4.0,13.87,AU,1589669539
Westport,41.14,-73.36,72,40.0,1.0,6.93,US,1589669337
Anáhuac,27.23,-100.15,89.6,43.0,5.0,8.05,MX,1589669539
Okha,53.57,142.95,35.47,85.0,84.0,13.91,RU,1589669540
Conceição do Araguaia,-8.26,-49.26,80.6,88.0,100.0,2.24,BR,1589669540
Avera,33.19,-82.53,86,40.0,1.0,6.93,US,1589669540
Belaya Gora,68.53,146.42,38.64,74.0,7.0,8.7,RU,1589669540
Keminmaa,65.86,24.82,32,97.0,33.0,6.93,FI,1589669540
Srednekolymsk,67.45,153.68,49.68,53.0,9.0,4.59,RU,1589669449
Linqiong,30.42,103.46,75,46.0,95.0,4.47,CN,1589669541
Vostok,46.49,135.88,50.4,90.0,69.0,4.18,RU,1589669467
Soyo,-6.13,12.37,78.94,88.0,0.0,5.35,AO,1589669541
Maragogi,-9.01,-35.22,78.04,81.0,1.0,2.98,BR,1589669541
Dolores Hidalgo Cuna de la Independencia Nacional,21.16,-100.93,84.99,17.0,18.0,7.0,MX,1589669541
Hohhot,40.81,111.65,48.2,42.0,53.0,13.42,CN,1589669542
Nongstoin,25.52,91.27,62.6,93.0,0.0,4.14,IN,1589669542
Zhireken,52.82,117.31,51.17,72.0,44.0,8.61,RU,1589669542
San Rafael,-34.62,-68.33,68.95,25.0,0.0,9.06,AR,1589669542
Le Port,-20.94,55.29,71.6,88.0,75.0,1.12,RE,1589669542
Porto Belo,-27.16,-48.55,68,72.0,0.0,4.7,BR,1589669543
Samoded,63.61,40.51,34.48,94.0,75.0,3.56,RU,1589669543
